How many trees are on Swanton Pacific Ranch?	More than a thousand but less than 10 million. Countless. A gazillion
How many plants have been identified in the Swanton/Scott Creek Watershed?	Approximately 15% or more of all of California's native and non-native plants live within the geomorphological boundaries of the watershed.
What happened to the Indigenous People of Swanton and what is now know as Santa Cruz?	Between 1770 and 1835, missionization gradually depleted the  population as well as the hunting and gathering on the landscape that would become Swanton Valley and Santa Cruz.  The disruption of their culture's stable and successful ecological adaptations significantly contributed to its devastation. The collapse of the population was also attributed to the introduction of disease, baptism and forced conversion, and declining birth rates.  
When did Spanish colonization of California begin?	Imperial Spain's colonization of California began in 1697.
When did Mexico take control of California?	Mexico officially assumed control of the area at that time. The last governor sent to California from Mexico City was Manuel Micheltorena, who came in 1842 and served until 1845. In 1848, California was acquired by the United States under the terms of the Treaty of Guadalupe Hidalgo.
When was the Santa Cruz mission built?	The Santa Cruz Mission began on September 25, 1792 with donations from local missions during Spanish rule.  The first stone was laid on February 23, 1793 and dedicated in March 1794. Subsequently, the Mexican government secularized the Mission in 1834.  In 1857, the Mission was completely destroyed by an earthquake. 
What was the original name of the land grant that Swanton was part of?	The original name of the land grant was Agua Puerca y las Trancas, translated as hog water and the bars, and was originally known as Rancho el Jarro. HIstorians have said that Agua Puerca likely refers to the stagnant water in the stream which comes out at Davenport Landing, the original southerly boundary of the rancho; and Las Trancas refers to placing poles for a gate or barrier in a narrow canyon just south of Waddell Creek.
Who was given the title to the original land grant?	On November 2, 1843, the Rancho Agua Puerca y las Trancas land grant was made to brothers-in-law Ramón Rodríguez and Francisco Alviso by Mexican Governor Manuel Micheltorena.
When did James Archibald purchase the land?	After both the Mexican-American War of 1846-48 and California's establishment as a state in 1850, land grant ownership required validation. That same year, 1867, Ramón Rodríguez and Francisco Alviso had their ownership validated and sold it to James Archibald.
Where was James Archibald from?	James Archibald was born in Scotland and immigrated to the United States.
What did James Archibald do with the land?	James Archibald farmed the land and arranged to have a Swiss dairyman, Ambrogio Gianone, run the dairy.
Who built the cheese house?	Swiss dairyman Ambrogio Gianone built the cheese house, a rock house cheese factory.
Did Ambrogio Gianone ever leave and buy property of his own?	At some point Ambrogio Gianone bought the north third of the Rancho, where Swanton Road crosses back over the ridge. It is known locally as Gianone Hill, and there are two families with fourth generation children living there today.
Are there other names that Swanton has been called after becoming a state?	One name Swanton was previously called was Laurel Grove. There was a need for a post office. The locals liked the name Laurel Grove, the name of the inn and the livery stable, and petitioned the Postal Service, but Fred Swanton knew a U.S. Senator thus the post office was designated as Swanton in 1897.
Are there other names that Swanton has been called after becoming a state?	One name Swanton was previoulsy called was Ingalls Station. 
When did the Swanton post office open?	In April, 1897, Pasquale Sonognini, a driver of the Santa Cruz-Pescadero stage, applied for a post office to be known as Trancas near the junction of Scott and Big creeks and on the Santa Cruz and Pescadero Stage Road (now Swanton Road). When the Post Office Department approved the office for opening May 28, 1897, it bestowed upon it the name of Swanton. The post office was closed on December 31, 1930. 
When did the Swanton post office close?	In April, 1897, Pasquale Sonognini, a driver of the Santa Cruz-Pescadero stage, applied for a post office to be known as Trancas near the junction of Scott and Big creeks and on the Santa Cruz and Pescadero Stage Road (now Swanton Road). When the Post Office Department approved the office for opening May 28, 1897, it bestowed upon it the name of Swanton. The post office was closed on December 31, 1930. 
What was the suggested name for the first local post office?	Some sources states that the post office was proposed to be named Trancas while some say Laurel Grove. There has been speculation that Fred Swanton knew a senator and his wishes overruled an Italian immigrant's name application considering the time period and Swanton's place in society.
